ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.05913027,0.0508255,0.07480722,0.99414498,-0.00066579,0.00199737,-0.00079895,-0.0111407,-0.01126518,0.10176624
-0.05844766,0.05096903,0.07065207,0.99448192,-0.00039947,0.00213053,-0.00079895,-0.01139588,-0.01157014,0.10177868
-0.05843404,0.05096463,0.06824992,0.99465078,0.0,0.00119842,0.00093211,-0.01112825,-0.01159504,0.10203386
-0.06019671,0.05070709,0.07302432,0.9942196,-0.00066579,0.00093211,-0.00053263,-0.01137721,-0.01140832,0.10180358
-0.06058002,0.05066559,0.07578692,0.99399167,0.0,0.00266316,-0.00026632,-0.01115315,-0.01143944,0.10192806
-0.06089373,0.05056897,0.07819311,0.99379104,0.00066579,0.0015979,-0.00026632,-0.01120294,-0.01175064,0.10253799
-0.06104611,0.05061592,0.07984938,0.99364763,-0.00066579,0.00253,0.00026632,-0.01150791,-0.01152035,0.10200896
-0.06088118,0.05044654,0.08099432,0.99357367,-0.00079895,0.00253,0.00013316,-0.01134609,-0.0114021,0.10206498
-0.0607099,0.05036807,0.08176412,0.99352503,0.0,0.00332895,0.00106526,-0.01105979,-0.01129007,0.10177246
-0.06100044,0.05045687,0.082426,0.99344808,-0.00213053,0.00253,0.00066579,-0.01147679,-0.01145811,0.10217079
-0.06084882,0.0504746,0.08336737,0.99337792,0.00013316,0.0,-0.00053263,-0.01130874,-0.01146434,0.10194673
-0.06067149,0.05041576,0.08351075,0.99337971,-0.00039947,0.00239685,-0.00066579,-0.0111407,-0.01135853,0.10194051
-0.05930723,0.05027332,0.07989521,0.99376661,0.00013316,0.00306264,0.00079895,-0.01132119,-0.01143944,0.10174134
-0.05925423,0.05076313,0.0778786,0.99390489,0.00066579,0.00292948,0.00093211,-0.011427,-0.0116884,0.10208987
-0.05961383,0.05056072,0.0779077,0.99389148,-0.00039947,0.00066579,0.00039947,-0.01130252,-0.01148923,0.10220813
-0.05964516,0.05040134,0.0779203,0.99389672,-0.00093211,0.00146474,-0.00066579,-0.01133986,-0.01115315,0.10199029
-0.05939238,0.05050269,0.07656547,0.99401194,0.00013316,0.00239685,-0.00039947,-0.01126518,-0.01128385,0.10162309
-0.05931038,0.0505385,0.07565406,0.99408484,-0.00039947,0.00213053,0.00079895,-0.01120916,-0.0112714,0.10200274
-0.05996789,0.05060286,0.07667203,0.99396408,0.00039947,0.00213053,0.00106526,-0.01125273,-0.01127762,0.10232638
-0.06037782,0.05057884,0.07782984,0.99385059,0.00026632,0.00213053,-0.00066579,-0.01157637,-0.01156392,0.10204631
-0.06074576,0.05060227,0.07930057,0.99371064,0.0,0.00292948,-0.00026632,-0.01140832,-0.01176931,0.10214589
-0.06082816,0.05055187,0.08077461,0.99358946,0.00066579,0.00146474,-0.00013316,-0.01109091,-0.01143944,0.10192806
-0.06072552,0.05034528,0.08115301,0.99357533,-0.00146474,0.00253,0.00013316,-0.01130874,-0.01138965,0.10200274
-0.06038757,0.05031376,0.0807997,0.99362636,-0.00119842,0.00173105,0.00053263,-0.01112825,-0.01145811,0.10169777
-0.06023199,0.05040182,0.0804332,0.99366111,0.00146474,0.00173105,0.0,-0.0112465,-0.01157014,0.10195295
-0.05995652,0.05053266,0.07931544,0.99376094,-0.00093211,0.00173105,-0.00026632,-0.01173819,-0.01185022,0.10185959
-0.05973872,0.050505,0.07867257,0.99382657,-0.00053263,0.00319579,0.00039947,-0.011427,-0.01146434,0.10195918
-0.06053915,0.05058283,0.08080623,0.99360293,0.00186421,0.00426106,-0.00066579,-0.01131497,-0.01166973,0.10204631
-0.06073677,0.05045505,0.08199732,0.99349982,0.00039947,0.00173105,-0.00013316,-0.01146434,-0.01148301,0.10228904
-0.06128815,0.05023918,0.08442781,0.99327326,0.00013316,0.00186421,-0.0015979,-0.01115937,-0.01153903,0.1018347
-0.06134826,0.0501055,0.08630489,0.99311501,0.00079895,0.00199737,-0.00026632,-0.0111407,-0.01151413,0.10153595
-0.06021402,0.05016888,0.08406446,0.99337333,-0.00013316,0.00346211,0.00013316,-0.01147056,-0.01186889,0.10230771
-0.05961916,0.05036722,0.08111116,0.99364471,0.00133158,0.00133158,0.00053263,-0.01138343,-0.01165105,0.10214589
-0.05993132,0.05032052,0.08118981,0.99362177,0.00013316,0.00173105,0.0,-0.01133986,-0.0115577,0.10229526
-0.06040294,0.05010424,0.08299813,0.99345481,0.00053263,0.00213053,0.00039947,-0.01115315,-0.01157637,0.10192183
-0.06052144,0.05030939,0.08381971,0.99336827,0.00039947,0.00239685,0.00066579,-0.01138965,-0.01138343,0.10222057
-0.0603159,0.05016631,0.08352068,0.99341309,0.00039947,0.00386158,-0.00079895,-0.01117804,-0.01142077,0.10204631
-0.06043097,0.05028614,0.08333902,0.99341542,0.00079895,0.00319579,0.00079895,-0.01129007,-0.01139588,0.10208365
